elo,name,date,year,color,id,Master_id
1545.1191141377544,West Ham,2019-09-22T13:00:00Z,2019-20,#7A263A,19.0,25.0
1497.6046131178455,Man Utd,2019-09-22T13:00:00Z,2019-20,#DA291C,12.0,16.0
1537.445724379318,Arsenal,2019-09-22T15:30:00Z,2019-20,#EF0107,1.0,0.0
1441.9134408202167,Aston Villa,2019-09-22T15:30:00Z,2019-20,#670E36,2.0,1.0
1506.9612877035422,Chelsea,2019-09-22T15:30:00Z,2019-20,#034694,6.0,6.0
1627.7963609310086,Liverpool,2019-09-22T15:30:00Z,2019-20,#C8102E,10.0,13.0
1482.6278900999905,Sheffield Utd,2019-09-28T11:30:00Z,2019-20,#EE2737,15.0,20.0
1643.9152119216978,Liverpool,2019-09-28T11:30:00Z,2019-20,#C8102E,10.0,13.0
1446.3915772638247,Aston Villa,2019-09-28T14:00:00Z,2019-20,#670E36,2.0,1.0
1500.348595945708,Burnley,2019-09-28T14:00:00Z,2019-20,#6C1D45,5.0,5.0
1530.033692293936,Bournemouth,2019-09-28T14:00:00Z,2019-20,#DA291C,3.0,2.0
1543.9503866011116,West Ham,2019-09-28T14:00:00Z,2019-20,#7A263A,19.0,25.0
1529.3535518223584,Chelsea,2019-09-28T14:00:00Z,2019-20,#034694,6.0,6.0
1448.195910206565,Brighton,2019-09-28T14:00:00Z,2019-20,#0057B8,4.0,4.0
1518.6714993025528,Crystal Palace,2019-09-28T14:00:00Z,2019-20,#1B458F,7.0,7.0
1436.1188444400486,Norwich,2019-09-28T14:00:00Z,2019-20,#FFF200,14.0,18.0
1522.6629627671693,Spurs,2019-09-28T14:00:00Z,2019-20,#132257,17.0,22.0
1460.7439622462155,Southampton,2019-09-28T14:00:00Z,2019-20,#D71920,16.0,21.0
1478.7790071812317,Wolves,2019-09-28T14:00:00Z,2019-20,#FDB913,20.0,26.0
1398.2220693482614,Watford,2019-09-28T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1445.7411181889101,Everton,2019-09-28T16:30:00Z,2019-20,#003399,8.0,8.0
1574.0629131177857,Man City,2019-09-28T16:30:00Z,2019-20,#6CABDD,11.0,15.0
1563.7240061959976,Leicester,2019-09-29T15:30:00Z,2019-20,#003090,9.0,12.0
1441.4064635594716,Newcastle,2019-09-29T15:30:00Z,2019-20,#241F20,13.0,17.0
1500.4589114634268,Man Utd,2019-09-30T19:00:00Z,2019-20,#DA291C,12.0,16.0
1534.591426033737,Arsenal,2019-09-30T19:00:00Z,2019-20,#EF0107,1.0,0.0
1478.4736737445248,Brighton,2019-10-05T11:30:00Z,2019-20,#0057B8,4.0,4.0
1492.3851992292095,Spurs,2019-10-05T11:30:00Z,2019-20,#132257,17.0,22.0
1521.4513113147227,Burnley,2019-10-05T14:00:00Z,2019-20,#6C1D45,5.0,5.0
1424.6384028198954,Everton,2019-10-05T14:00:00Z,2019-20,#003399,8.0,8.0
1663.245318607412,Liverpool,2019-10-05T14:00:00Z,2019-20,#C8102E,10.0,13.0
1544.3938995102835,Leicester,2019-10-05T14:00:00Z,2019-20,#003090,9.0,12.0
1411.8578116570704,Norwich,2019-10-05T14:00:00Z,2019-20,#FFF200,14.0,18.0
1470.652610046803,Aston Villa,2019-10-05T14:00:00Z,2019-20,#670E36,2.0,1.0
1404.1788264293648,Watford,2019-10-05T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1476.671133018887,Sheffield Utd,2019-10-05T14:00:00Z,2019-20,#EE2737,15.0,20.0
1517.1346273998072,West Ham,2019-10-05T16:30:00Z,2019-20,#7A263A,19.0,25.0
1545.4872585038572,Crystal Palace,2019-10-05T16:30:00Z,2019-20,#1B458F,7.0,7.0
1559.2634895395554,Arsenal,2019-10-06T13:00:00Z,2019-20,#EF0107,1.0,0.0
1505.3616287881175,Bournemouth,2019-10-06T13:00:00Z,2019-20,#DA291C,3.0,2.0
1542.3735579068573,Man City,2019-10-06T13:00:00Z,2019-20,#6CABDD,11.0,15.0
1510.46836239216,Wolves,2019-10-06T13:00:00Z,2019-20,#FDB913,20.0,26.0
1440.617631802873,Southampton,2019-10-06T13:00:00Z,2019-20,#D71920,16.0,21.0
1549.479882265701,Chelsea,2019-10-06T13:00:00Z,2019-20,#034694,6.0,6.0
1470.615178565477,Newcastle,2019-10-06T15:30:00Z,2019-20,#241F20,13.0,17.0
1471.2501964574215,Man Utd,2019-10-06T15:30:00Z,2019-20,#DA291C,12.0,16.0
1456.1411329897505,Everton,2019-10-19T11:30:00Z,2019-20,#003399,8.0,8.0
1485.631897229952,West Ham,2019-10-19T11:30:00Z,2019-20,#7A263A,19.0,25.0
1496.2152857783522,Aston Villa,2019-10-19T14:00:00Z,2019-20,#670E36,2.0,1.0
1452.9109980129756,Brighton,2019-10-19T14:00:00Z,2019-20,#0057B8,4.0,4.0
1498.7913529087014,Bournemouth,2019-10-19T14:00:00Z,2019-20,#DA291C,3.0,2.0
1418.4280875364866,Norwich,2019-10-19T14:00:00Z,2019-20,#FFF200,14.0,18.0
1568.900606901561,Chelsea,2019-10-19T14:00:00Z,2019-20,#034694,6.0,6.0
1451.1944539296169,Newcastle,2019-10-19T14:00:00Z,2019-20,#241F20,13.0,17.0
1567.7454429211443,Leicester,2019-10-19T14:00:00Z,2019-20,#003090,9.0,12.0
1498.099767903862,Burnley,2019-10-19T14:00:00Z,2019-20,#6C1D45,5.0,5.0
1486.1711769788847,Spurs,2019-10-19T14:00:00Z,2019-20,#132257,17.0,22.0
1410.3928486796897,Watford,2019-10-19T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1505.5088397703094,Wolves,2019-10-19T14:00:00Z,2019-20,#FDB913,20.0,26.0
1445.5771544247236,Southampton,2019-10-19T14:00:00Z,2019-20,#D71920,16.0,21.0
1520.2632157338558,Crystal Palace,2019-10-19T16:30:00Z,2019-20,#1B458F,7.0,7.0
